name	category	genericName	unit	stockQuantity	reorderLevel	costPrice	sellingPrice	expiryDate	active
TAB CYFEN	Analgesics		tablets	44	40	3	5	9/6/2028	yes
TAB HEPTOLIF	Vitamins & Supplements		pcs	34	10	3	5	9/12/2028	yes
TAB LUFART	Antimalarials		pcs	10	4	25	30	9/13/2028	yes
TAB METRONIDAZOLE	Antibiotics		pcs	31	10	0	2	9/13/2028	yes
TAB MULTIVITE	Vitamins & Supplements		pcs	50	10	0	1	9/13/2028	yes
TAB PARACETAMOL			pcs	181	10	1	2	9/12/2028	yes
TAB PARACETAMOL UK	Analgesics		pcs	14	10	3	5	9/12/2028	yes
TAB PHOPAIN	Analgesics		pcs	9	5	1	2	9/13/2028	yes
TAB ZUBES	Respiratory		pcs	5	3	2	3	9/6/2028	yes
TABEEA HERBAL	Herbal Remedies		bottle	2	1	25	30	9/6/2028	yes
TB B'CO	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
TB FOLIC ACID	Vitamins & Supplements		tablets	10	5	0.5	1	9/6/2028	yes
TB MULTIVITAMIN	Vitamins & Supplements		tablets	0	40	0	0	9/6/2028	no
TB TANAZOLE	Anthelmintics		tablets	0	30	0	0	9/6/2028	yes
TEEDAR	Vitamins & Supplements		tablets	5	40	15	20	9/6/2028	yes
TETRACYCLINE	Antibiotics		capsules	25	10	0	2	9/6/2028	yes
TIME HERBAL	Herbal Remedies		bottle	3	1	30	35	9/6/2028	yes
TO'THEMA	Herbal Remedies		bottle	0	30	0	0	9/6/2028	yes
TRAMADOL	Analgesics		tablets	4	20	10	15	9/6/2028	yes
TRES-ONIX	Vitamins & Supplements		capsules	3	1	55	60	9/6/2028	yes
TS AWDUX	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	no
UPT	Herbal Remedies		bottle	50	3	3	5	9/6/2028	yes
VERMOX	Anthelmintics		tablets	10	2	20	25	9/6/2028	yes
VICTORY			pcs	1	1	40	45	9/13/2028	yes
VIGORIX FORTE	Vitamins & Supplements		bottle	1	30	25	30	9/6/2028	yes
VIKIL 20	Herbal Remedies		bottle	0	30	30	35	9/6/2028	yes
VIMOL	Antimalarials		tablets	0	30	0	0	9/6/2028	yes
VIT B	Vitamins & Supplements		tablets	0	40	0	0	9/6/2028	no
VIT C SYRUP	Vitamins & Supplements		bottle	7	3	8	10	9/6/2028	yes
WELL BABY	Vitamins & Supplements		bottle	0	20	0	0	9/6/2028	yes
WIP	Medical Supplies		pack	0	50	0	0	9/6/2028	yes
ZINC TAB	Vitamins & Supplements		strip	3	30	1	2	9/6/2028	yes
ZINCOVIT DROP	Vitamins & Supplements		bottle	1	20	25	30	9/6/2028	yes
ZINCOYL + CAPS	Vitamins & Supplements		capsules	0	30	0	0	9/6/2028	no
ZINOL SUSP	Vitamins & Supplements		bottle	1	20	15	20	9/6/2028	yes
ZIPFERON	Vitamins & Supplements		pcs	4	10	20	25	9/12/2028	yes
ZULU-100	Analgesics		box	28	5	8	10	9/13/2028	yes
ZYFLOXACIN	Antibiotics		tablets	0	30	0	0	9/6/2028	yes
syr cyprodine			pcs	2	10	110	130	9/17/2028	yes
